x,y,tile_cbf_hz,tile_peak_amp,tile_var,tile_zcr,tile_cbp_sine_score,tile_cbp_amp,video,label,fps,class
480,448,26.71875,45.08918995597254,1.2176714385522756,0.592156862745098,-0.13421648552254373,1.1034815080246136,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
0,480,2.34375,260.1379041546613,11.548578265260028,0.25098039215686274,-0.35308050154700593,3.398319918027146,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
32,480,3.28125,194.74506939846933,8.54406569227941,0.2784313725490196,-0.3457673313119783,2.9230233820959097,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
64,480,2.34375,162.9823055195513,6.606307216642948,0.3215686274509804,-0.292741480493706,2.5702737629760275,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
96,480,2.34375,85.46102226074602,2.6938989689235644,0.43529411764705883,0.2492817520641442,1.6413101379457706,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
128,480,3.75,56.973936636262074,1.4289365220171828,0.47843137254901963,0.23880254234025516,1.195381329123549,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
160,480,26.71875,41.45080341101902,0.9779200116964863,0.5686274509803921,-0.13049442972820585,0.9888983828970934,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
192,480,26.71875,42.15537397448624,0.9773822748788747,0.615686274509804,-0.11355926148144163,0.9886264587187998,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
224,480,2.578125,70.02611279757673,1.28335621526905,0.4745098039215686,0.3368331133137459,1.132853130493556,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
256,480,3.28125,40.2185869412492,0.9326440588282257,0.5607843137254902,0.05869622825452557,0.9657349837446222,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
288,480,26.71875,39.94154802237139,0.9153522806271891,0.6078431372549019,-0.13138385433425662,0.9567404457987491,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
320,480,26.71875,44.03274237418195,0.9775758706642714,0.6039215686274509,-0.14021720190038817,0.9887243653639124,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
352,480,26.71875,40.99554769821109,1.0423094374041137,0.5450980392156862,-0.13086720798727608,1.0209355696634894,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
384,480,26.71875,42.62719067448214,1.1516194362157224,0.5137254901960784,-0.1312930399993697,1.0731353298702464,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
416,480,2.34375,56.59770276930904,1.4039617442664567,0.48627450980392156,-0.26189805892176576,1.1848889164248506,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
448,480,26.71875,41.53060414839315,1.2229547495101865,0.47843137254901963,-0.11211372995824678,1.1058728450912367,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
480,480,26.71875,41.20423715032589,1.1003056324860505,0.5450980392156862,-0.13797630792620455,1.0489545426213904,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
0,0,5.671641791044776,53.815195363521035,1.0190853935257298,0.195,-0.34052988889888014,1.009497594611166,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
32,0,2.08955223880597,38.29697770299032,0.3478628571108266,0.25,0.09018795710189224,0.5897989972107672,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
64,0,2.08955223880597,18.31972900290898,0.11634929475994552,0.23,0.1621892612731255,0.3411001242449869,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
96,0,2.6865671641791042,22.196896543085238,0.09609013467440769,0.295,-0.5033409282633025,0.3099840877761433,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
128,0,2.6865671641791042,27.26152461067197,0.1988119870568074,0.25,-0.35745951551909116,0.44588337831411406,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
160,0,2.9850746268656714,46.59331733706144,0.6029837349859303,0.205,0.2482449782600048,0.7765202733901609,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
192,0,3.2835820895522385,36.330037645740944,0.44389958739072394,0.26,0.06318464594666,0.6662578985578512,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
224,0,2.9850746268656714,12.465758806693374,0.0974344786385532,0.3,-0.21478286935543067,0.31214496414094717,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
256,0,2.9850746268656714,36.17938736532956,0.2789374881823463,0.2,0.48154345796223946,0.5281453286571285,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
288,0,2.9850746268656714,18.22705615147423,0.11585202187848692,0.295,-0.37677232099647484,0.3403704186301843,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
320,0,2.9850746268656714,24.755776801384407,0.13081747437792463,0.33,0.24411901134234046,0.36168698397637233,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
352,0,5.074626865671641,19.749103822772152,0.2642762823204717,0.235,0.12100937372361495,0.5140780897105728,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
384,0,2.6865671641791042,98.48406213205931,1.9605832886338534,0.17,0.36806658898972344,1.4002083018729226,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
416,0,4.17910447761194,211.72665307184863,8.090791807403313,0.14,-0.22322650899922383,2.844431719588873,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
448,0,2.9850746268656714,74.7706691170644,1.2967869443426001,0.185,0.1451296018731866,1.1387655352804633,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
480,0,3.5820895522388057,31.73223349926227,0.2857947768474731,0.28,0.41470974166564123,0.5345977710835251,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
0,32,3.2835820895522385,55.87282719809557,1.2766211160397825,0.2,0.138665719757639,1.1298765932790105,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
